% 1. Title: Webscrape Database
% 
% 2. Sources:
%      (a) Avtor: Tadej Tomažin
%      (b) Podatki: https://www.avto.net/
%      (c) Datum: Januar, 2020
%
% 3. Instances: 200, all unique

@relation avtomobili

@attribute 'letnikAvto' numeric
@attribute 'nazivAvta' string
@attribute 'tehnicniPregled' string
@attribute 'prevozeniKilometri' numeric
@attribute 'barva' {bela,'svetlo modra','bordo rdeča metalik',modra,'svetlo siva','zelena metalik','svetlo modra metalik',svetlo siva metalik,'modra metalik','temno modra','beige metalik','rjava metalik','svetlo siva metalik','oranžna metalik','temno siva metalik','temno modra metalik','rdeča metalik',rdeča,'siva metalik','srebrna metalik','temno siva','temno zelena metalik','črna metalik','zlata metalik',srebrna,'bela metalik',črna}
@attribute 'cena' numeric
@attribute 'vrstaGoriva' {diesel_motor, bencinski_motor, elektro_pogon, hibridni_pogon}
@attribute 'oblikaAvta' string

@data
2015,'Opel Astra 1.6 Cosmo',3/2020,80000,'črna metalik',8200,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2015,'Hyundai Tucson 1.7 CRDI Comfort - Winter',10/2021,43400,'rjava metalik',15990,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2013,'BMW serija 3: 318d GT',?,244000,bela,10500,diesel_motor,'limuzina, 4 vr.'
2014,'Renault Megane Berline dCi 110 EDC GT',?,142000,'srebrna metalik',7990,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
2011,'Volkswagen Golf Comfortline 1.4 TSI 1',10/2020,163300,'srebrna metalik',5990,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2015,'Volkswagen Passat 1.6 TDI',5/2020,119723,'srebrna metalik',14985,diesel_motor,'limuzina, 4 vr.'
2016,'Ford Focus Karavan 1.5 TDCi',1/2021,123697,'srebrna metalik',9980,diesel_motor,'karavan, 5 vr.'
2012,'BMW serija 1: 118d M sport',5/2020,160000,črna,8000,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
2017,'Volkswagen Passat 2.0 TDI BMT R-Line Edition',1/2021,73321,'siva metalik',21490,diesel_motor,'limuzina, 4 vr.'
?,'Opel Astra NOVA 1.2Turbo Start Stop GS LINE',?,6,bela,?,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2014,'Opel Insignia SportsTourer 2.0 CDTI ecoFlex Active',11/2020,189542,bela,8890,diesel_motor,'karavan, 5 vr.'
?,'Volvo S90 D5 AWD Inscription',?,70000,'črna metalik',33250,diesel_motor,'avtomatski menjalnik / tiptronic'
2011,'Opel Astra 1.7 CDTI Cosmo',4/2020,151300,'srebrna metalik',6690,diesel_motor,'kombilimuzina / hatchback, 5 vr.'
2019,'Citroen C4 Cactus 1.2 PureTech',12/2023,5,bela,15999,bencinski_motor,'terensko vozilo / SUV, 5 vr.'
2011,'Renault Megane Coupé 1.6 16V Color Edition',10/2020,109700,'temno siva',5100,bencinski_motor,'coupe, 3 vr.'
2010,'Volkswagen Touran 1.6 TDI Comfortline',8/2020,231000,bela,6400,diesel_motor,'karavan, 5 vr.'
2014,'Audi A4 2.0 TDI S-LINE',10/2020,150000,'bela metalik',15100,diesel_motor,'limuzina, 4 vr.'
2015,'BMW serija 4: 418d Gran Coupé',?,189680,'srebrna metalik',16290,diesel_motor,'coupe, 5 vr.'
2008,'Lexus GS 300 Avt. 3.0 V6',5/2020,185100,'bela metalik',9700,bencinski_motor,'limuzina, 4 vr.'
2016,'BMW serija 3: 318d Touring Advantage',12/2020,152400,'srebrna metalik',15490,diesel_motor,'karavan, 5 vr.'
2014,'Fiat Punto 1.4 Street EasyPower',?,212000,bela,5500,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2018,'Renault Kadjar dCi 110 Energy Limited',6/2022,79132,'beige metalik',15990,diesel_motor,'terensko vozilo / SUV, 5 vr.'
2017,'Volvo S90 PILOT TEMPOMAT',2/2020,51500,'črna metalik',26990,diesel_motor,'limuzina, 4 vr.'
2018,'Škoda Fabia 1.0 Active',6/2020,9703,siva,8490,bencinski_motor,'kombilimuzina / hatchback, 5 vr.'
2014,'Volkswagen Caddy 1.6 TDI',?,88000,bela,11890,diesel_motor,'enoprostorec / van, 5 vr.'
?,'Citroen C4 Grand SpaceTourer C4 Grand Spacetourer BlueHDi 130 S S Origins',?,?,bela,22550,diesel_motor,'enoprostorec / van, 5 vr.'
